model_id,downloads,tasks,parameters,tags,license,datasets,model_name,metrics,base_model,languages
DiTy/cross-encoder-russian-msmarco,206360,text-classification,177854209.0,"['sentence-transformers', 'safetensors', 'bert', 'text-classification', 'transformers', 'rubert', 'cross-encoder', 'reranker', 'msmarco', 'ru', 'dataset:unicamp-dl/mmarco', 'base_model:DeepPavlov/rubert-base-cased', 'base_model:finetune:DeepPavlov/rubert-base-cased', 'license:mit', 'region:us']",mit,['unicamp-dl/mmarco'],,,DeepPavlov/rubert-base-cased,['ru']
Babelscape/t5-base-summarization-claim-extractor,206134,text2text-generation,222903552.0,"['transformers', 'safetensors', 't5', 'text2text-generation', 'en', 'arxiv:2403.02270', 'license:cc-by-nc-sa-4.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",['cc-by-nc-sa-4.0'],,,,,['en']
RunDiffusion/Juggernaut-XL-v9,205763,text-to-image,,"['diffusers', 'art', 'people', 'diffusion', 'Cinematic', 'Photography', 'Landscape', 'Interior', 'Food', 'Car', 'Wildlife', 'Architecture', 'text-to-image', 'en', 'base_model:stabilityai/stable-diffusion-xl-base-1.0', 'base_model:finetune:stabilityai/stable-diffusion-xl-base-1.0', 'license:creativeml-openrail-m', 'autotrain_compatible', 'endpoints_compatible', 'diffusers:StableDiffusionXLPipeline', 'region:us']",creativeml-openrail-m,,,,stabilityai/stable-diffusion-xl-base-1.0,['en']
Salesforce/codet5p-110m-embedding,205382,,,"['transformers', 'pytorch', 'codet5p_embedding', 'custom_code', 'arxiv:2305.07922', 'license:bsd-3-clause', 'endpoints_compatible', 'region:us']",bsd-3-clause,,,,,
LongSafari/evo-1-8k-crispr,205158,text-generation,6452781248.0,"['transformers', 'safetensors', 'stripedhyena', 'text-generation', 'long context', 'deep signal processing', 'hybrid', 'biology', 'genomics', 'custom_code', 'arxiv:2302.10866', 'arxiv:2203.14343', 'arxiv:2310.18780', 'arxiv:2206.11893', 'arxiv:2303.06349', 'arxiv:2102.02611', 'arxiv:2210.09298', 'license:apache-2.0', 'autotrain_compatible', 'region:us']",apache-2.0,,,,,
jonatasgrosman/wav2vec2-large-xlsr-53-persian,204746,automatic-speech-recognition,,"['transformers', 'pytorch', 'jax', 'wav2vec2', 'automatic-speech-recognition', 'audio', 'speech', 'xlsr-fine-tuning-week', 'fa', 'dataset:common_voice', 'doi:10.57967/hf/3576', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'region:us']",apache-2.0,['common_voice'],XLSR Wav2Vec2 Persian by Jonatas Grosman,"['wer', 'cer']",,fa
cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,204246,text-classification,,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'dataset:cardiffnlp/tweet_sentiment_multilingual', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",,['cardiffnlp/tweet_sentiment_multilingual'],cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,"['f1', 'accuracy']",,
MoritzLaurer/ModernBERT-large-zeroshot-v2.0,203941,text-classification,395833346.0,"['transformers', 'onnx', 'safetensors', 'modernbert', 'text-classification', 'generated_from_trainer', 'base_model:answerdotai/ModernBERT-large', 'base_model:quantized:answerdotai/ModernBERT-large', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,,ModernBERT-large-zeroshot-v2.0,['accuracy'],answerdotai/ModernBERT-large,
Qdrant/all_miniLM_L6_v2_with_attentions,203522,sentence-similarity,,"['transformers', 'onnx', 'bert', 'feature-extraction', 'sentence-similarity', 'en', 'license:apache-2.0', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,['en']
Qwen/Qwen2-1.5B-Instruct,203519,text-generation,1543714304.0,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,['en']
timm/ViT-B-16-SigLIP-i18n-256,203125,zero-shot-image-classification,,"['open_clip', 'safetensors', 'clip', 'siglip', 'zero-shot-image-classification', 'dataset:webli', 'arxiv:2303.15343', 'license:apache-2.0', 'region:us']",apache-2.0,['webli'],,,,
lmms-lab/llava-onevision-qwen2-7b-si,203092,text-generation,8030348832.0,"['transformers', 'safetensors', 'llava', 'text-generation', 'multimodal', 'conversational', 'en', 'zh', 'dataset:lmms-lab/LLaVA-OneVision-Data', 'arxiv:2408.03326', 'license:apache-2.0', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,['lmms-lab/LLaVA-OneVision-Data'],llava-onevision-qwen-7b-si,['accuracy'],,"['en', 'zh']"
Qwen/Qwen2.5-VL-72B-Instruct-AWQ,202844,image-text-to-text,12625481984.0,"['transformers', 'safetensors', 'qwen2_5_vl', 'image-text-to-text', 'multimodal', 'conversational', 'en', 'arxiv:2309.00071', 'arxiv:2409.12191', 'arxiv:2308.12966', 'base_model:Qwen/Qwen2.5-VL-72B-Instruct', 'base_model:quantized:Qwen/Qwen2.5-VL-72B-Instruct', 'license:other', 'text-generation-inference', 'endpoints_compatible', '4-bit', 'awq', 'region:us']",other,,,,['Qwen/Qwen2.5-VL-72B-Instruct'],['en']
syssec-utd/py312-pylingual-v1-statement,202587,text2text-generation,222882048.0,"['transformers', 'tensorboard', 'safetensors', 't5', 'text2text-generation', 'generated_from_trainer', 'base_model:Salesforce/codet5-base', 'base_model:finetune:Salesforce/codet5-base', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,py312-pylingual-v1-statement,,Salesforce/codet5-base,
sentence-transformers/paraphrase-MiniLM-L12-v2,202399,sentence-similarity,33360512.0,"['sentence-transformers', 'pytorch', 'tf', 'onnx', 'safetensors', 'openvino', 'bert', 'feature-extraction', 'sentence-similarity', 'transformers', 'arxiv:1908.10084', 'license:apache-2.0', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
Systran/faster-distil-whisper-medium.en,201692,automatic-speech-recognition,,"['ctranslate2', 'audio', 'automatic-speech-recognition', 'en', 'license:mit', 'region:us']",mit,,,,,['en']
speechbrain/lang-id-voxlingua107-ecapa,201206,audio-classification,,"['speechbrain', 'audio-classification', 'embeddings', 'Language', 'Identification', 'pytorch', 'ECAPA-TDNN', 'TDNN', 'VoxLingua107', 'multilingual', 'ab', 'af', 'am', 'ar', 'as', 'az', 'ba', 'be', 'bg', 'bi', 'bo', 'br', 'bs', 'ca', 'ceb', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fo', 'fr', 'gl', 'gn', 'gu', 'gv', 'ha', 'haw', 'hi', 'hr', 'ht', 'hu', 'hy', 'ia', 'id', 'is', 'it', 'he', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'la', 'lm', 'ln', 'lo', 'lt', 'lv', 'mg', 'mi', 'mk', 'ml', 'mn', 'mr', 'ms', 'mt', 'my', 'ne', 'nl', 'nn', 'no', 'oc', 'pa', 'pl', 'ps', 'pt', 'ro', 'ru', 'sa', 'sco', 'sd', 'si', 'sk', 'sl', 'sn', 'so', 'sq', 'sr', 'su', 'sv', 'sw', 'ta', 'te', 'tg', 'th', 'tk', 'tl', 'tr', 'tt', 'uk', 'ud', 'uz', 'vi', 'war', 'yi', 'yo', 'zh', 'dataset:VoxLingua107', 'arxiv:2106.04624', 'license:apache-2.0', 'region:us']",apache-2.0,['VoxLingua107'],,['Accuracy'],,"['multilingual', 'ab', 'af', 'am', 'ar', 'as', 'az', 'ba', 'be', 'bg', 'bi', 'bo', 'br', 'bs', 'ca', 'ceb', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fo', 'fr', 'gl', 'gn', 'gu', 'gv', 'ha', 'haw', 'hi', 'hr', 'ht', 'hu', 'hy', 'ia', 'id', 'is', 'it', 'he', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'la', 'lm', 'ln', 'lo', 'lt', 'lv', 'mg', 'mi', 'mk', 'ml', 'mn', 'mr', 'ms', 'mt', 'my', 'ne', 'nl', 'nn', 'no', 'oc', 'pa', 'pl', 'ps', 'pt', 'ro', 'ru', 'sa', 'sco', 'sd', 'si', 'sk', 'sl', 'sn', 'so', 'sq', 'sr', 'su', 'sv', 'sw', 'ta', 'te', 'tg', 'th', 'tk', 'tl', 'tr', 'tt', 'uk', 'ud', 'uz', 'vi', 'war', 'yi', 'yo', 'zh']"
RunDiffusion/Juggernaut-XL-v6,200725,text-to-image,,"['diffusers', 'art', 'people', 'diffusion', 'Cinematic', 'Photography', 'Landscape', 'Interior', 'Food', 'Car', 'Wildlife', 'Architecture', 'en', 'base_model:stabilityai/stable-diffusion-xl-base-1.0', 'base_model:finetune:stabilityai/stable-diffusion-xl-base-1.0', 'license:creativeml-openrail-m', 'autotrain_compatible', 'endpoints_compatible', 'diffusers:StableDiffusionXLPipeline', 'region:us']",creativeml-openrail-m,,,,stabilityai/stable-diffusion-xl-base-1.0,['en']
Rostlab/prot_t5_xl_half_uniref50-enc,199877,,,"['transformers', 'pytorch', 't5', 'protein language model', 'dataset:UniRef50', 'text-generation-inference', 'endpoints_compatible', 'region:us']",,['UniRef50'],,,,
black-forest-labs/FLUX.1-Redux-dev,199853,,,"['diffusers', 'safetensors', 'image-generation', 'flux', 'diffusion-single-file', 'en', 'license:other', 'diffusers:FluxPriorReduxPipeline', 'region:us']",other,,,,,['en']
h2oai/h2ogpt-4096-llama2-7b-chat,199597,text-generation,6738417664.0,"['transformers', 'pytorch', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'llama-2', 'h2ogpt', 'en', 'license:llama2', 'autotrain_compatible', 'text-generation-inference', 'region:us']",llama2,,,,,['en']
bartowski/Qwen_QwQ-32B-GGUF,199204,text-generation,,"['gguf', 'chat', 'text-generation', 'en', 'base_model:Qwen/QwQ-32B', 'base_model:quantized:Qwen/QwQ-32B', 'license:apache-2.0', 'endpoints_compatible', 'region:us', 'imatrix', 'conversational']",apache-2.0,,,,Qwen/QwQ-32B,['en']
Qwen/QwQ-32B-Preview,197941,text-generation,32763876352.0,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'arxiv:2407.10671', 'base_model:Qwen/Qwen2.5-32B-Instruct', 'base_model:finetune:Qwen/Qwen2.5-32B-Instruct', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,Qwen/Qwen2.5-32B-Instruct,['en']
benjamin/wtp-canine-s-1l,197663,token-classification,,"['transformers', 'pytorch', 'la-canine', 'token-classification', 'multilingual', 'am', 'ar', 'az', 'be', 'bg', 'bn', 'ca', 'ceb', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fr', 'fy', 'ga', 'gd', 'gl', 'gu', 'ha', 'he', 'hi', 'hu', 'hy', 'id', 'ig', 'is', 'it', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'ku', 'ky', 'la', 'lt', 'lv', 'mg', 'mk', 'ml', 'mn', 'mr', 'ms', 'mt', 'my', 'ne', 'nl', 'no', 'pa', 'pl', 'ps', 'pt', 'ro', 'ru', 'si', 'sk', 'sl', 'sq', 'sr', 'sv', 'ta', 'te', 'tg', 'th', 'tr', 'uk', 'ur', 'uz', 'vi', 'xh', 'yi', 'yo', 'zh', 'zu', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",mit,,,,,"['multilingual', 'am', 'ar', 'az', 'be', 'bg', 'bn', 'ca', 'ceb', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fr', 'fy', 'ga', 'gd', 'gl', 'gu', 'ha', 'he', 'hi', 'hu', 'hy', 'id', 'ig', 'is', 'it', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'ku', 'ky', 'la', 'lt', 'lv', 'mg', 'mk', 'ml', 'mn', 'mr', 'ms', 'mt', 'my', 'ne', 'nl', 'no', 'pa', 'pl', 'ps', 'pt', 'ro', 'ru', 'si', 'sk', 'sl', 'sq', 'sr', 'sv', 'ta', 'te', 'tg', 'th', 'tr', 'uk', 'ur', 'uz', 'vi', 'xh', 'yi', 'yo', 'zh', 'zu']"
kyutai/moshiko-pytorch-bf16,197596,,7687729152.0,"['moshi', 'safetensors', 'en', 'license:cc-by-4.0', 'region:us']",cc-by-4.0,,,,,['en']
microsoft/DialoGPT-small,197493,text-generation,175620096.0,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'gpt2', 'text-generation', 'conversational', 'arxiv:1911.00536', 'license:mit', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",mit,,,,,
MIT/ast-finetuned-audioset-14-14-0.443,197083,audio-classification,86167823.0,"['transformers', 'pytorch', 'safetensors', 'audio-spectrogram-transformer', 'audio-classification', 'arxiv:2104.01778', 'license:bsd-3-clause', 'endpoints_compatible', 'region:us']",bsd-3-clause,,,,,
hkunlp/instructor-large,196442,sentence-similarity,,"['sentence-transformers', 'pytorch', 't5', 'text-embedding', 'embeddings', 'information-retrieval', 'beir', 'text-classification', 'language-model', 'text-clustering', 'text-semantic-similarity', 'text-evaluation', 'prompt-retrieval', 'text-reranking', 'feature-extraction', 'sentence-similarity', 'transformers', 'English', 'Sentence Similarity', 'natural_questions', 'ms_marco', 'fever', 'hotpot_qa', 'mteb', 'en', 'arxiv:2212.09741', 'license:apache-2.0', 'model-index', 'autotrain_compatible', 'text-generation-inference', 'region:us']",apache-2.0,,INSTRUCTOR,,,en
Lykon/dreamshaper-8-inpainting,196365,image-to-image,,"['diffusers', 'safetensors', 'stable-diffusion', 'stable-diffusion-diffusers', 'inpainting', 'art', 'artistic', 'anime', 'dreamshaper', 'en', 'license:creativeml-openrail-m', 'diffusers:StableDiffusionInpaintPipeline', 'region:us']",creativeml-openrail-m,,,,,['en']
katuni4ka/tiny-random-minicpmv-2_6,195917,,78871744.0,"['safetensors', 'minicpmv', 'custom_code', 'region:us']",,,,,,
MaziyarPanahi/gemma-3-27b-it-GGUF,195094,text-generation,,"['gguf', 'quantized', '2-bit', '3-bit', '4-bit', '5-bit', '6-bit', '8-bit', 'GGUF', 'text-generation', 'base_model:google/gemma-3-27b-it', 'base_model:quantized:google/gemma-3-27b-it', 'region:us', 'conversational']",,,gemma-3-27b-it-GGUF,,google/gemma-3-27b-it,
sentence-transformers/msmarco-bert-base-dot-v5,194803,sentence-similarity,109482752.0,"['sentence-transformers', 'pytorch', 'tf', 'onnx', 'safetensors', 'openvino', 'bert', 'feature-extraction', 'sentence-similarity', 'transformers', 'en', 'arxiv:1908.10084', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",,,,,,['en']
joeddav/bart-large-mnli-yahoo-answers,194791,zero-shot-classification,,"['transformers', 'pytorch', 'jax', 'bart', 'text-classification', 'zero-shot-classification', 'en', 'dataset:yahoo-answers', 'arxiv:1909.00161', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",,['yahoo-answers'],,,,en
MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,194411,zero-shot-classification,278812163.0,"['transformers', 'pytorch', 'onnx', 'safetensors', 'deberta-v2', 'text-classification', 'zero-shot-classification', 'nli', 'multilingual', 'zh', 'ja', 'ar', 'ko', 'de', 'fr', 'es', 'pt', 'hi', 'id', 'it', 'tr', 'ru', 'bn', 'ur', 'mr', 'ta', 'vi', 'fa', 'pl', 'uk', 'nl', 'sv', 'he', 'sw', 'ps', 'dataset:MoritzLaurer/multilingual-NLI-26lang-2mil7', 'dataset:xnli', 'dataset:multi_nli', 'dataset:facebook/anli', 'dataset:fever', 'dataset:lingnli', 'dataset:alisawuffles/WANLI', 'arxiv:2111.09543', 'arxiv:2104.07179', 'arxiv:1809.05053', 'arxiv:1911.02116', 'license:mit', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",mit,"['MoritzLaurer/multilingual-NLI-26lang-2mil7', 'xnli', 'multi_nli', 'facebook/anli', 'fever', 'lingnli', 'alisawuffles/WANLI']",DeBERTa-v3-base-xnli-multilingual-nli-2mil7,['accuracy'],,"['multilingual', 'zh', 'ja', 'ar', 'ko', 'de', 'fr', 'es', 'pt', 'hi', 'id', 'it', 'tr', 'ru', 'bn', 'ur', 'mr', 'ta', 'vi', 'fa', 'pl', 'uk', 'nl', 'sv', 'he', 'sw', 'ps']"
HuggingFaceM4/tiny-random-LlamaForCausalLM,194320,text-generation,,"['transformers', 'pytorch', 'llama', 'text-generation', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",,,,,,
DeepChem/ChemBERTa-77M-MLM,194142,fill-mask,,"['transformers', 'pytorch', 'roberta', 'fill-mask', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",,,,,,
watt-ai/watt-tool-8B,193964,,8030261248.0,"['safetensors', 'llama', 'function-calling', 'tool-use', 'bfcl', 'en', 'arxiv:2406.14868', 'base_model:meta-llama/Llama-3.1-8B-Instruct', 'base_model:finetune:meta-llama/Llama-3.1-8B-Instruct', 'license:apache-2.0', 'region:us']",apache-2.0,,,,['meta-llama/Llama-3.1-8B-Instruct'],['en']
BAAI/bge-multilingual-gemma2,193575,feature-extraction,9241713152.0,"['sentence-transformers', 'safetensors', 'gemma2', 'feature-extraction', 'sentence-similarity', 'transformers', 'mteb', 'arxiv:2402.03216', 'arxiv:2309.07597', 'license:gemma', 'model-index', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",gemma,,bge-multilingual-gemma2,,,
cl-nagoya/ruri-base,193015,sentence-similarity,111207168.0,"['safetensors', 'bert', 'sentence-similarity', 'feature-extraction', 'ja', 'dataset:cl-nagoya/ruri-dataset-ft', 'arxiv:2409.07737', 'base_model:cl-nagoya/ruri-pt-base', 'base_model:finetune:cl-nagoya/ruri-pt-base', 'license:apache-2.0', 'region:us']",apache-2.0,['cl-nagoya/ruri-dataset-ft'],,,cl-nagoya/ruri-pt-base,['ja']
cross-encoder/stsb-roberta-large,192815,text-classification,355361283.0,"['transformers', 'pytorch', 'jax', 'safetensors', 'roberta', 'text-classification', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
Qwen/Qwen2.5-Math-7B,192543,text-generation,7615616512.0,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'conversational', 'en', 'arxiv:2409.12122', 'base_model:Qwen/Qwen2.5-7B', 'base_model:finetune:Qwen/Qwen2.5-7B', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,Qwen/Qwen2.5-7B,['en']
facebook/sam2-hiera-large,191955,mask-generation,,"['sam2', 'mask-generation', 'arxiv:2408.00714', 'license:apache-2.0', 'region:us']",apache-2.0,,,,,
bigscience/bloom-560m,191801,text-generation,559214592.0,"['transformers', 'pytorch', 'jax', 'onnx', 'safetensors', 'bloom', 'text-generation', 'ak', 'ar', 'as', 'bm', 'bn', 'ca', 'code', 'en', 'es', 'eu', 'fon', 'fr', 'gu', 'hi', 'id', 'ig', 'ki', 'kn', 'lg', 'ln', 'ml', 'mr', 'ne', 'nso', 'ny', 'or', 'pa', 'pt', 'rn', 'rw', 'sn', 'st', 'sw', 'ta', 'te', 'tn', 'ts', 'tum', 'tw', 'ur', 'vi', 'wo', 'xh', 'yo', 'zh', 'zhs', 'zht', 'zu', 'arxiv:1909.08053', 'arxiv:2110.02861', 'arxiv:2108.12409', 'license:bigscience-bloom-rail-1.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",bigscience-bloom-rail-1.0,,,,,"['ak', 'ar', 'as', 'bm', 'bn', 'ca', 'code', 'en', 'es', 'eu', 'fon', 'fr', 'gu', 'hi', 'id', 'ig', 'ki', 'kn', 'lg', 'ln', 'ml', 'mr', 'ne', 'nso', 'ny', 'or', 'pa', 'pt', 'rn', 'rw', 'sn', 'st', 'sw', 'ta', 'te', 'tn', 'ts', 'tum', 'tw', 'ur', 'vi', 'wo', 'xh', 'yo', 'zh', 'zhs', 'zht', 'zu']"
PekingU/rtdetr_r50vd_coco_o365,191631,object-detection,43019372.0,"['transformers', 'safetensors', 'rt_detr', 'object-detection', 'vision', 'en', 'dataset:coco', 'arxiv:2304.08069', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",apache-2.0,['coco'],,,,['en']
openai/whisper-tiny.en,191496,automatic-speech-recognition,37760256.0,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'whisper', 'automatic-speech-recognition', 'audio', 'hf-asr-leaderboard', 'en', 'arxiv:2212.04356', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'region:us']",apache-2.0,,whisper-tiny.en,,,['en']
google/siglip-large-patch16-384,191122,zero-shot-image-classification,652478466.0,"['transformers', 'safetensors', 'siglip', 'zero-shot-image-classification', 'vision', 'arxiv:2303.15343', 'arxiv:2209.06794', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
ai4bharat/IndicBERTv2-MLM-only,190976,fill-mask,,"['transformers', 'pytorch', 'bert', 'fill-mask', 'indicbert2', 'ai4bharat', 'multilingual', 'as', 'bn', 'brx', 'doi', 'en', 'gom', 'gu', 'hi', 'kn', 'ks', 'kas', 'mai', 'ml', 'mr', 'mni', 'mnb', 'ne', 'or', 'pa', 'sa', 'sat', 'sd', 'snd', 'ta', 'te', 'ur', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",mit,,,['accuracy'],,"['as', 'bn', 'brx', 'doi', 'en', 'gom', 'gu', 'hi', 'kn', 'ks', 'kas', 'mai', 'ml', 'mr', 'mni', 'mnb', 'ne', 'or', 'pa', 'sa', 'sat', 'sd', 'snd', 'ta', 'te', 'ur']"
tezuesh/segmentation,190772,,,"['pytorch', 'tensorboard', 'region:us']",,,,,,
tezuesh/overlapped-speech-detection,190746,,,['region:us'],,,,,,
philschmid/bart-large-cnn-samsum,190267,summarization,,"['transformers', 'pytorch', 'bart', 'text2text-generation', 'sagemaker', 'summarization', 'en', 'dataset:samsum', 'license:mit', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",mit,['samsum'],bart-large-cnn-samsum,,,en
trl-internal-testing/tiny-LlamaForCausalLM-3.2,189840,text-generation,2054056.0,"['transformers', 'safetensors', 'llama', 'text-generation', 'trl', 'conversational', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",,,,,,
facebook/dinov2-giant,189004,image-feature-extraction,1136480768.0,"['transformers', 'pytorch', 'safetensors', 'dinov2', 'image-feature-extraction', 'dino', 'vision', 'arxiv:2304.07193', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
mlx-community/DeepSeek-R1-Distill-Qwen-32B-4bit,188613,text-generation,5120300032.0,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'mlx', 'conversational', 'base_model:deepseek-ai/DeepSeek-R1-Distill-Qwen-32B', 'base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Qwen-32B', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', '4-bit', 'region:us']",,,,,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,
